age,monthly_income,debt_ratio,payment_history,accounts,tenure,delinquency,approval
38,2220,0.7992271062915269,0,1,2,1,0
26,7035,0.27153348290850254,1,2,5,1,0
56,7523,0.033187630225001485,1,1,3,1,0
35,9074,0.517014723886716,1,2,11,1,0
21,1834,0.19668643412686138,1,1,10,0,1
42,2724,0.7578462929324711,0,2,6,1,0
31,7598,0.6411996332321481,1,3,2,1,0
67,3413,0.9236026679779178,0,3,14,1,0
26,6993,0.7829883572657359,0,1,8,0,0
43,5498,0.18077595484072684,1,2,4,1,0
19,3105,0.8001582366647964,0,4,3,1,0
37,3568,0.6417370448140233,1,4,5,1,0
45,1209,0.6689516417606249,0,4,14,1,0
64,5911,0.8322628859701487,0,3,8,1,0
24,3220,0.5738240691889402,0,3,9,1,0
61,1233,0.4660035143530129,0,2,1,0,0
25,1792,0.636641035358728,0,1,4,0,0
64,4110,0.2979574289583591,1,3,6,1,0
52,3166,0.1825971310870993,0,1,6,0,0
31,9526,0.6165878380712464,1,4,13,0,0
34,6193,0.23384836908547768,1,4,9,0,1
53,2214,0.07991510934660673,0,1,1,1,0
67,5419,0.000554184585253914,1,2,13,1,0
57,8314,0.6083194014000671,0,4,14,0,0
21,9475,0.3621487834802368,1,2,5,1,0
19,1212,0.752310970673456,1,4,10,0,0
23,2658,0.37517639831310245,0,3,1,1,0
59,6024,0.4860034482382267,1,4,6,0,0
21,6917,0.4070849728153849,1,2,9,1,0
46,6141,0.6505747911093461,1,3,4,1,0
35,2794,0.3561391620149682,0,4,10,0,0
43,6988,0.9637676499423089,1,3,10,1,0
61,9296,0.9361469865985301,1,3,9,1,0
51,6578,0.8480279026572813,0,4,3,0,0
27,6551,0.9203002705727481,1,1,11,1,0
53,4845,0.449139688459391,0,1,7,0,0
31,7906,0.5364303967894921,1,2,5,0,0
48,1378,0.7420925925582444,1,2,10,0,0
65,4293,0.6961459249385411,1,4,1,0,0
32,4329,0.8906785956054708,0,3,7,1,0
25,5808,0.7163310272566953,1,3,8,1,0
31,8937,0.9978847082284605,0,1,6,0,0
40,1224,0.348505799831591,0,1,1,1,0
57,1737,0.8329977422394179,1,3,9,1,0
38,1235,0.6976348228326642,1,3,7,1,0
33,1711,0.6913864452150186,0,2,14,1,0
62,6988,0.3258355948449989,1,3,6,0,1
35,2888,0.7856017924230225,1,3,4,1,0
64,8173,0.9003760223475992,1,4,3,0,0
41,2259,0.21854846152056295,1,3,4,0,1
43,6246,0.6254968371167041,0,1,1,1,0
42,8271,0.3921348291027752,1,1,9,1,0
62,1748,0.9895481192948771,0,2,2,1,0
58,4551,0.4788328158316816,0,2,2,0,0
46,7400,0.2283201737969427,0,4,3,0,0
32,7643,0.38185762522183253,0,2,14,1,0
62,9701,0.6538383898166262,0,3,13,1,0
18,2823,0.07608937134957627,0,3,1,0,0
42,7852,0.6036019202212376,0,4,10,0,0
24,8777,0.931224759178898,1,1,3,1,0
26,5232,0.8503627876578504,1,3,4,1,0
41,7519,0.06767353665798337,0,3,9,1,0
18,2777,0.9933898787390681,1,4,5,0,0
61,2222,0.6987269237038791,1,1,11,0,0
25,8630,0.1622808243140237,1,2,6,1,0
41,2777,0.012416089169423494,1,3,13,0,1
28,8490,0.17128263629215135,0,1,1,0,0
68,5859,0.8381759206857385,1,4,3,0,0
34,9893,0.02163932494516374,0,4,14,1,0
25,9118,0.23314730361808655,1,1,7,1,0
52,3989,0.7573055953348754,1,4,7,1,0
52,9343,0.5861105358981351,0,2,10,0,0
50,2325,0.7827357103601918,0,1,13,0,0
22,6127,0.7461505038267879,0,2,12,1,0
59,9998,0.05060138712180473,1,4,12,1,0
56,3722,0.8925114190941515,1,2,13,0,0
58,5656,0.2270318342822687,1,2,1,1,0
45,2325,0.5533924402297637,0,2,9,0,0
24,5133,0.6442881565277788,0,2,1,1,0
26,3869,0.1686282108850954,0,1,7,1,0
25,2242,0.9762312567009744,0,4,12,1,0
29,9539,0.488155956087309,0,4,12,0,0
51,2831,0.057642695597393434,1,3,2,1,0
50,2569,0.9372620447778404,0,2,9,1,0
65,8246,0.5862678431932681,0,2,12,1,0
40,2918,0.6991931979813764,1,3,12,0,0
41,7416,0.5251757899342241,0,3,9,0,0
54,4232,0.8347379547769676,0,2,9,1,0
52,4758,0.033133462193210894,0,4,4,1,0
61,6997,0.26837836527714776,0,3,6,1,0
57,3355,0.4696483564026922,1,2,13,1,0
39,2824,0.07660361631371004,0,4,12,1,0
44,8280,0.7059066693266582,1,1,2,0,0
52,5060,0.39366341405564076,0,3,3,0,0
18,6324,0.27266799026814403,1,3,6,0,1
52,1404,0.0033788468084122725,1,4,1,1,0
54,2721,0.7198303117499537,0,1,7,0,0
64,6316,0.8338093088728618,1,4,2,1,0
31,4845,0.39504053568149844,1,3,8,0,1
20,5210,0.5642179770333655,1,1,5,1,0
18,1064,0.22768662592959843,0,2,7,0,0
22,7382,0.6221976462801331,1,3,8,1,0
43,1968,0.012137458315200522,1,4,3,0,1
31,1368,0.48864389709875844,1,4,6,0,0
56,9424,0.6442054818406923,0,4,12,1,0
44,3242,0.918191773229734,0,4,9,1,0
26,6002,0.38133581712228426,1,4,4,1,0
32,4083,0.7651902029810298,1,3,10,1,0
32,9073,0.5976870299435008,0,1,7,1,0
43,9880,0.9270121129250806,1,4,1,0,0
59,2469,0.3983776756594306,0,4,12,0,0
30,5725,0.319095339872988,1,2,7,0,1
68,5259,0.8871419986941438,1,2,9,1,0
49,4622,0.04924440140828912,0,1,10,0,0
56,1823,0.1363853929336768,0,3,8,0,0
66,4431,0.08240443458404445,1,3,4,0,1
69,7528,0.8431099565764026,0,1,3,0,0
49,5151,0.010607423370319391,1,1,7,1,0
21,5213,0.8616571554970481,1,1,13,1,0
47,8420,0.4512677953712668,0,4,12,0,0
54,9989,0.0040252788539707485,1,3,1,0,1
40,1779,0.40164517721204185,1,1,8,0,0
56,3892,0.18680084104503558,0,2,14,0,0
62,6534,0.624400487472163,1,4,12,0,0
32,4306,0.6793587899216466,1,4,1,0,0
60,3902,0.48752757040499983,1,4,7,1,0
46,4718,0.04051952543966997,1,4,6,0,1
53,1021,0.6561288043672019,0,1,10,0,0
30,2500,0.8420387836055212,1,4,8,0,0
49,4641,0.7203242773264015,1,2,6,0,0
24,6212,0.8299579189553186,1,2,5,0,0
68,1191,0.20050952355088747,1,1,9,0,1
39,9587,0.8888879396564826,0,4,4,0,0
45,8174,0.3221934506479628,0,2,7,0,0
19,6114,0.013404814251991026,0,3,6,0,0
59,5662,0.8433916463290707,1,4,10,0,0
62,5326,0.9418212689647267,1,1,6,1,0
23,5335,0.6555581974173488,0,3,11,0,0
45,9281,0.23143663046342466,0,4,12,0,0
45,9648,0.2517444642825304,1,3,5,1,0
61,6494,0.4665928734356195,0,4,2,0,0
61,9536,0.8978310796014195,1,4,4,0,0
37,3711,0.14959765614755838,1,2,1,0,1
47,8595,0.825973669583487,1,3,9,0,0
28,7273,0.29130280870515035,1,3,9,1,0
45,7284,0.8085861694290979,1,1,8,0,0
42,9817,0.9202711976015386,1,1,4,0,0
56,4994,0.4274938719943202,1,3,5,0,0
50,2678,0.36505065410553084,1,2,1,0,1
18,9414,0.8022213189713018,0,2,4,0,0
44,1743,0.529482882379394,0,4,4,1,0
69,1462,0.6844490484631971,0,1,5,1,0
30,2568,0.6228292369611795,0,1,2,0,0
58,2736,0.15288884564479632,1,1,2,1,0
20,8903,0.8447903602895617,0,4,12,1,0
56,8002,0.1957751114131362,0,2,2,1,0
23,9856,0.9322821440707808,1,1,11,0,0
25,2356,0.25057129142214785,0,4,8,0,0
44,2014,0.7338809732737419,0,3,13,1,0
26,2054,0.28465539349359203,0,2,12,1,0
54,2764,0.3177854085868639,0,3,2,0,0
50,7009,0.3100018527823053,1,1,6,1,0
68,5458,0.7478922540260833,0,4,2,0,0
59,1667,0.5568151179693931,0,2,13,0,0
61,4370,0.8829524558474972,0,1,8,1,0
41,6976,0.30737271920404485,0,2,14,0,0
32,2394,0.6919925220567443,1,4,1,1,0
49,9290,0.7529485996631107,1,4,2,1,0
49,5070,0.15148211302995818,0,1,14,1,0
41,7982,0.40058935731981116,1,2,5,0,0
58,9613,0.4828174943504111,1,4,6,1,0
69,6599,0.3556873898943743,1,2,9,0,1
66,4650,0.3221125959691381,1,2,6,1,0
66,4620,0.6864198939976419,0,3,8,0,0
69,4190,0.21586639765948856,1,1,12,1,0
29,9789,0.7093907452511288,0,1,7,1,0
56,1391,0.9350441963907306,0,2,1,0,0
19,2075,0.5651975211777511,0,3,2,0,0
20,3650,0.6114342367394741,0,2,4,1,0
66,3384,0.06893270212408908,0,1,12,0,0
54,1809,0.8644769036178283,0,1,1,1,0
66,9047,0.2854477871998655,0,2,8,1,0
34,6501,0.6150511655285649,0,2,4,0,0
66,7895,0.9791121697448023,0,2,7,0,0
19,2159,0.5955026005728078,0,1,7,1,0
19,8574,0.7247094874643776,1,2,8,1,0
45,2531,0.4453196182237519,1,2,9,1,0
40,6481,0.06036584351505736,1,4,9,1,0
54,8548,0.7975993494897885,0,1,14,0,0
49,5976,0.03499884126398567,0,2,7,1,0
50,6695,0.7006578288878541,0,3,9,0,0
18,9445,0.022921573149636942,0,1,5,1,0
36,4548,0.8623052365766706,0,2,10,0,0
19,7163,0.15763603583298058,1,2,4,1,0
61,7671,0.5142714954425511,1,4,3,0,0
43,6264,0.5971507044831473,0,4,6,1,0
49,2231,0.4575454073734121,0,1,10,0,0
23,3423,0.3407634893488872,1,4,11,0,1
49,9071,0.4678142961809717,1,4,9,0,0
21,5261,0.3114157538811587,1,1,4,1,0
28,3908,0.4381223470808632,0,3,14,0,0
34,5712,0.35891299099803065,0,2,2,0,0
55,7755,0.5662048235071453,0,2,11,1,0
41,4883,0.23792416224498347,0,4,3,1,0
22,4515,0.9886565549140125,1,2,3,1,0
69,4403,0.5008699533821656,1,4,2,0,0
51,5598,0.19416207741450964,0,1,13,0,0
23,6008,0.47706674956727246,1,1,9,0,0
39,7222,0.8664151295248242,0,1,4,0,0
28,5009,0.021806793124395596,1,2,3,1,0
65,3735,0.6795541191072888,0,4,14,0,0
33,5491,0.547967796793928,1,4,10,1,0
50,9593,0.16955799437013552,1,2,6,0,1
26,1974,0.8174764393049206,1,1,8,1,0
23,1223,0.36888462237400566,0,3,11,1,0
33,5613,0.29380202881550743,1,4,8,0,1
46,7777,0.828125191856901,0,4,10,0,0
20,9427,0.6385250461916646,0,2,6,0,0
37,5211,0.8982590836748244,1,3,5,1,0
53,1225,0.6298837036711994,0,1,11,1,0
36,9183,0.7408176579321153,0,4,7,0,0
43,5277,0.8364458962596129,0,2,3,1,0
20,2341,0.05473963590993691,0,3,12,0,0
36,5036,0.7760489588693803,1,2,10,0,0
37,9401,0.6137064818495768,0,3,2,0,0
49,4727,0.06950779651519323,1,2,13,0,1
24,4928,0.5085779218687151,0,3,8,1,0
69,3803,0.08245807798395388,0,4,11,0,0
58,7558,0.7359472017232224,0,3,12,1,0
50,1393,0.546501713897883,0,1,14,1,0
57,7839,0.9535735374122973,0,4,9,1,0
56,9795,0.18313537157176984,0,1,12,1,0
35,1581,0.6060334525203784,0,4,6,1,0
57,1132,0.21158213457049135,0,3,4,0,0
18,3838,0.6140649847273983,0,4,6,1,0
28,4385,0.7226497023608565,1,2,12,0,0
45,4770,0.7223043293295386,1,3,7,0,0
42,3268,0.8150739906826099,0,2,12,0,0
67,1975,0.8535502279583167,0,2,8,0,0
40,8605,0.07727172626717704,0,2,3,1,0
48,8213,0.34326715707240407,1,2,12,1,0
47,3835,0.6871225203598057,1,1,6,0,0
59,3738,0.49858628739121214,1,3,14,0,0
52,5134,0.1906759467547915,0,2,10,0,0
24,7833,0.552709570166698,0,1,6,0,0
33,9353,0.4074356527661438,1,4,10,0,0
43,2909,0.3900382776543051,0,2,7,0,0
65,2963,0.8097537174356638,0,2,14,1,0
69,6153,0.40759833383218125,1,1,4,1,0
66,1966,0.026454505480424162,0,4,6,1,0
19,1889,0.058063338891091276,1,4,2,1,0
18,4061,0.8562440416916203,1,1,8,0,0
65,7461,0.9606008100125213,0,2,3,1,0
29,7166,0.6884093364557076,1,3,9,1,0
22,7967,0.3643682941000802,0,1,8,0,0
54,9101,0.9386003157947275,1,3,12,1,0
49,8379,0.6628030863757358,0,2,6,0,0
26,8280,0.8443335491993377,0,2,10,0,0
58,2067,0.7658523040370093,0,4,2,0,0
52,5223,0.3791393157725924,0,2,8,0,0
36,5607,0.4787022008507855,1,4,11,0,0
65,4985,0.1861321543680995,1,4,6,1,0
33,4179,0.29201410044073406,0,2,11,0,0
20,5538,0.7781256612865217,0,4,1,1,0
37,3362,0.8939783918831082,0,2,6,0,0
41,3224,0.7244604232514118,1,4,13,0,0
50,7371,0.4651736966566383,1,4,5,0,0
41,2726,0.08650926893974753,0,2,6,1,0
69,6791,0.056947948698448214,1,3,13,0,1
28,9073,0.3743255646128538,0,1,1,1,0
66,9458,0.4638217187676631,1,2,4,1,0
25,8013,0.6091206222132969,0,4,7,1,0
53,1837,0.00648952138699721,0,1,13,0,0
55,5584,0.9897228904663063,0,3,5,1,0
57,1686,0.3639388834040429,1,2,6,0,1
37,1356,0.8480946638011214,0,4,2,0,0
52,5647,0.5349667056654044,1,4,8,0,0
65,5418,0.1304394545333465,1,2,10,0,1
42,7642,0.7975655525345219,0,4,4,0,0
52,4391,0.7098270749198761,0,1,6,0,0
42,5357,0.527436084929228,0,4,3,1,0
46,5879,0.51455309133378,1,1,9,0,0
35,6319,0.08747960575092806,1,1,13,0,1
63,3739,0.6558489485738741,1,2,8,1,0
35,5784,0.9112451557542998,1,4,14,1,0
19,1877,0.09324491922135836,1,1,6,0,1
52,3870,0.2635114506489049,1,4,9,0,1
33,1292,0.9023079734420988,1,1,10,1,0
58,9728,0.2843439098197933,0,3,9,1,0
53,3686,0.6539436721799263,0,2,2,0,0
50,1233,0.5348181649431442,0,2,9,1,0
21,3374,0.5963276050038621,1,2,8,1,0
50,3272,0.4157889015772531,0,1,2,0,0
31,1966,0.2999914705537111,1,3,9,1,0
38,1889,0.04853345072966897,1,1,5,1,0
65,4863,0.7442809392941642,1,2,13,1,0
37,7154,0.7460934621942268,1,1,12,1,0
25,4400,0.6707257400787232,0,2,9,1,0
24,9226,0.6436337881196206,1,4,3,1,0
20,5542,0.24371713216752622,0,1,4,0,0
34,4523,0.02234493376629121,1,4,1,0,1
50,2763,0.8087153968854397,0,1,11,0,0
65,4291,0.4911385356958269,1,2,5,1,0
29,3488,0.30683813070261834,1,4,7,1,0
68,2558,0.10193190678057007,0,1,13,0,0
39,5690,0.0627215909013884,0,2,7,1,0
39,7121,0.3488667217951773,0,1,6,0,0
63,3276,0.8047370647669405,1,4,13,1,0
47,5439,0.9187237493338305,1,1,6,1,0
55,2103,0.8967513646130647,1,1,8,1,0
55,8520,0.9200008347496549,0,4,11,0,0
62,6409,0.9077253431293427,0,2,10,0,0
68,8869,0.5272247516003958,0,1,9,0,0
25,3956,0.21941563855690382,1,1,4,0,1
44,8710,0.7980465828368204,1,3,14,0,0
44,7017,0.213712974852579,0,3,4,1,0
51,4384,0.2672072767565691,1,2,8,1,0
38,1028,0.23325432182254846,1,4,5,1,0
47,9897,0.5149824036958058,1,2,10,1,0
50,8756,0.3218275081690799,0,2,14,0,0
45,7948,0.15415604962534146,0,2,9,0,0
64,6755,0.4531734118938824,0,1,6,0,0
50,4602,0.873907238785167,1,1,9,1,0
22,6062,0.5705528549499722,0,2,12,0,0
65,9071,0.8783356058875871,0,2,12,0,0
36,8244,0.1958721850791374,1,3,4,1,0
21,7372,0.166973873672554,1,4,1,1,0
52,8105,0.5755771256984202,1,2,14,0,0
66,4581,0.46332890154627304,1,3,4,0,0
34,3762,0.6601726416469569,0,2,9,0,0
61,1572,0.7946267910267816,1,4,13,1,0
45,8705,0.7513072956521765,1,2,7,1,0
47,1614,0.9422611736585611,1,4,6,1,0
46,5050,0.39825640915701155,1,1,14,1,0
63,1325,0.20638674224818077,1,4,14,1,0
23,4740,0.5509126399478858,1,2,2,1,0
52,1358,0.1107431201911856,0,3,4,0,0
58,4777,0.28885112333163143,0,1,1,0,0
54,6906,0.20788805526314447,0,3,13,0,0
41,2721,0.3965637167970809,0,2,3,1,0
46,2349,0.11121657500221538,1,1,13,1,0
66,4696,0.03184174454809785,1,3,2,0,1
63,4896,0.6567940046300318,1,2,13,0,0
48,5260,0.6102489782898048,0,3,4,1,0
52,7941,0.7083589360386612,1,4,4,1,0
50,4808,0.660386440271344,1,4,11,1,0
69,6246,0.1142946811423835,1,2,14,0,1
38,9384,0.2910788813756463,1,3,9,1,0
49,4845,0.12952660990035236,0,2,7,1,0
40,3577,0.8429724020485632,1,3,13,1,0
50,1091,0.7469036553555233,1,1,3,1,0
20,5234,0.20152700291824244,1,2,7,0,1
35,9672,0.3413092404898934,0,2,8,0,0
42,7592,0.9666149922642142,1,3,12,1,0
59,9128,0.5941593578796515,1,2,7,1,0
48,2075,0.8011555973011573,1,1,8,1,0
20,3513,0.26459103476872914,1,3,14,1,0
57,9168,0.2100529201793052,1,3,9,1,0
63,7861,0.7839169288465484,1,3,1,1,0
41,9990,0.6858724552314401,1,1,10,1,0
67,1604,0.6809779292117637,0,1,6,1,0
49,3979,0.5526345818291939,0,2,4,0,0
64,8140,0.5635783427765488,1,3,1,0,0
39,8065,0.7356975053062538,1,1,2,1,0
40,5916,0.2700024811211953,0,4,10,0,0
19,7800,0.35276846585695576,0,2,4,0,0
44,1597,0.8716367705200551,0,1,1,0,0
59,8320,0.30886520101215775,0,1,6,0,0
19,9705,0.546309571379299,1,1,1,1,0
43,6622,0.7026394640066841,1,2,13,1,0
34,2877,0.9999248268331765,1,1,9,1,0
57,2699,0.43529133149533195,1,1,10,1,0
50,6780,0.4280928766249438,1,4,3,0,0
26,1716,0.8425883794336675,0,4,12,0,0
60,5086,0.8055031112598633,0,4,11,0,0
65,1665,0.7310758817345485,0,1,1,0,0
56,8846,0.4632296374090289,0,4,6,1,0
46,7611,0.3239391201607158,0,3,6,1,0
59,2079,0.6087304825848486,1,4,7,1,0
43,9419,0.8762232931316409,0,4,7,0,0
52,9340,0.8837774582085866,0,1,10,1,0
67,2069,0.10849834507043843,1,3,11,1,0
42,6263,0.42835028381315066,1,4,4,1,0
41,8951,0.46472195619874945,1,1,5,0,0
30,2363,0.9776153675237532,1,3,3,1,0
24,5508,0.6779980152425845,1,4,6,1,0
53,2755,0.40724641726207056,0,1,13,1,0
62,1519,0.026057885985593,1,3,14,1,0
37,6463,0.5653851600991959,1,4,7,0,0
18,8233,0.09607597563835613,0,3,9,1,0
25,2102,0.8344499573477631,0,3,9,0,0
63,1597,0.7525186605703621,1,1,12,1,0
33,4273,0.46050915990817876,1,2,13,1,0
31,6781,0.4292107795416997,0,3,5,1,0
29,7256,0.8973389655687687,1,3,4,1,0
68,8258,0.2884583504181284,1,3,7,1,0
40,9780,0.2490199621067708,1,3,14,0,1
32,7554,0.9391974328257621,1,3,3,1,0
45,9002,0.8092458367534826,1,2,4,1,0
51,5846,0.8206255930671946,0,1,9,1,0
19,5798,0.19519381427592553,0,2,5,0,0
49,7605,0.1432959914309344,1,1,10,0,1
40,3986,0.0260295498171349,1,2,14,1,0
39,1400,0.23704150891868003,0,1,7,0,0
68,3855,0.7741904917143247,0,4,2,1,0
42,4412,0.24003841876414977,0,3,9,0,0
39,1056,0.7291032835948762,1,1,5,1,0
39,9022,0.2519082653674215,0,1,5,0,0
66,2875,0.3952924979506717,1,3,4,0,1
69,5543,0.9831622899114084,1,4,8,0,0
59,5298,0.24481173128413558,1,3,11,0,1
23,4768,0.37637062729826765,1,1,4,0,1
32,6752,0.30108718046521366,1,1,2,0,1
60,5833,0.10962498633000228,0,3,5,0,0
54,2353,0.48989414213082494,0,2,3,0,0
50,5987,0.3786906633330023,0,3,4,1,0
25,7597,0.6948870858072801,0,1,3,1,0
61,5311,0.8175945469515462,1,1,7,1,0
61,3934,0.5442497144956385,0,1,14,1,0
22,1022,0.03219642208733686,0,4,6,1,0
56,2209,0.6189223562347216,0,3,2,1,0
21,9940,0.055390730020939194,0,4,11,0,0
23,1804,0.6163563235990249,0,3,14,0,0
62,9325,0.6850299492691885,0,4,8,0,0
49,5416,0.19776762761751843,1,2,5,1,0
69,9625,0.819346148721771,1,1,6,0,0
47,6141,0.9110851315740486,0,1,8,0,0
64,5968,0.8130869641138196,1,3,11,0,0
52,4671,0.30510919021208216,1,1,11,0,1
57,8292,0.5866430124456344,1,4,12,1,0
69,8001,0.9148151491912277,1,2,7,0,0
33,3098,0.3206647262228499,1,4,11,0,1
30,9444,0.820027822265425,0,4,3,1,0
67,6061,0.009475131261696523,1,3,2,1,0
59,4264,0.00364670278467627,1,1,3,1,0
47,6435,0.7597116603389674,0,4,8,0,0
36,9493,0.7614475821271212,1,3,4,0,0
34,7691,0.7889771878522938,1,4,8,0,0
36,3763,0.9300268378881623,0,4,4,1,0
45,5005,0.11790631182028422,1,4,7,0,1
43,4241,0.23198498498368836,0,3,13,1,0
54,4057,0.9037249203738076,1,2,6,1,0
43,1550,0.17723619777235344,1,4,10,1,0
40,6574,0.682229267576584,0,4,1,0,0
26,6411,0.5304630000408154,1,3,13,1,0
29,2587,0.08319367685150725,0,1,11,1,0
18,6920,0.28526366194153285,1,2,8,0,1
18,6260,0.5203722164409679,1,3,6,1,0
64,5409,0.8523501166838341,1,1,2,1,0
51,6783,0.7075384896146737,1,3,5,0,0
49,1712,0.621883161454933,0,3,12,0,0
65,6406,0.4960328899414148,1,2,2,1,0
42,8990,0.2986839838141343,1,2,10,1,0
57,8420,0.11924491131926118,0,2,7,0,0
62,7843,0.40907603456609554,0,2,11,1,0
18,3433,0.028518493911292575,0,1,10,1,0
33,4301,0.2110558892668506,1,4,6,1,0
56,1270,0.43248337587265984,0,3,7,1,0
22,2079,0.41860518567191507,0,2,6,0,0
39,6322,0.0442954309969924,0,4,10,1,0
46,9795,0.5890601535252913,0,1,1,1,0
20,6257,0.5496842558532362,1,2,3,0,0
29,8982,0.07810430402091284,1,3,10,1,0
43,7214,0.9431630524604393,1,4,2,1,0
33,6006,0.09938277895086012,0,2,1,1,0
68,4985,0.8548341512373361,0,3,1,1,0
54,9791,0.00030973191500593966,0,4,4,0,0
39,9705,0.8822810950453831,1,3,11,0,0
46,6991,0.019719732204312557,0,1,1,1,0
31,7227,0.757812031892116,0,2,2,0,0
45,8833,0.36169081130025293,1,2,1,0,1
22,3886,0.7382168001363199,1,3,13,0,0
64,3653,0.4017452054249785,1,4,12,1,0
66,5864,0.07090792233184173,1,2,12,1,0
47,3514,0.7675066953953641,1,3,6,0,0
63,4969,0.07125268532136497,0,1,11,0,0
69,4284,0.922120435961218,0,2,4,0,0
22,8740,0.050974035791661376,0,3,8,0,0
29,5566,0.47932527777151546,1,4,11,0,0
33,3196,0.7230344308507957,1,2,5,0,0
43,1789,0.39324646479203773,1,2,14,0,1
43,4475,0.2172334745924347,1,1,10,1,0
65,2309,0.759090961396027,0,3,5,1,0
38,1864,0.7842947047887264,0,4,11,1,0
56,6389,0.9226949839543672,0,1,11,1,0
53,4363,0.3761651104310777,0,1,8,0,0
50,9215,0.5062517344973269,0,1,11,1,0
47,4003,0.36312844284607204,0,3,10,0,0
54,9502,0.2570818218513682,0,3,6,1,0
40,2231,0.7510329615376086,0,2,6,1,0
27,8959,0.33965184501695544,1,3,3,0,1
22,3711,0.42814944199235205,0,1,13,0,0
53,7581,0.40367365762402785,0,3,6,1,0
51,8705,0.7126612256467458,1,4,10,1,0
69,1421,0.9177956261106798,1,2,13,1,0
48,1946,0.6667560613073773,0,1,7,1,0
27,2834,0.4715825960942326,0,2,2,1,0
36,2564,0.7792051147388834,1,3,3,0,0
49,8332,0.6409713241221375,1,2,6,0,0
18,5944,0.060610357117813485,1,2,10,0,1
22,2308,0.09566358641884165,0,3,9,0,0
62,3986,0.03791694407363333,1,2,13,0,1
21,1386,0.45681632620631984,0,3,9,0,0
33,7131,0.8258534343389649,1,1,8,1,0
41,4258,0.31308316935135205,0,2,8,0,0
33,7121,0.3841601830924817,1,4,9,1,0
19,5811,0.9094771083678906,0,4,11,1,0
66,7574,0.8369034453166548,1,1,11,1,0
45,7697,0.66504811238256,1,3,9,1,0
49,4933,0.2668037820922513,0,3,10,1,0
44,2439,0.1170414826884435,0,2,11,1,0
37,7169,0.016058822680113716,0,2,13,1,0
41,5480,0.10701067260442088,1,4,9,1,0
29,1055,0.29259644362394277,1,4,5,0,1
67,4324,0.5517900635794957,1,3,6,0,0
52,7777,0.06400008275238689,1,4,5,1,0
50,1105,0.136227778318449,1,3,13,1,0
50,4201,0.18108070230794104,0,1,1,0,0
68,1669,0.6319820929833062,0,1,4,1,0
60,9934,0.6157897989801244,1,4,14,0,0
54,1966,0.5507657263721529,1,2,11,1,0
29,1307,0.2505014246959396,0,4,13,1,0
20,3138,0.371119691218732,1,4,1,1,0
18,1109,0.09668971633774304,0,4,12,1,0
50,4632,0.22646060375805488,0,2,1,1,0
57,7728,0.8977052264725804,0,4,3,0,0
27,6684,0.9796917464358285,0,2,7,1,0
60,7499,0.6476595856402947,0,4,1,1,0
61,2915,0.9168232920234202,1,2,7,0,0
46,1556,0.6427419004014251,0,2,10,1,0
30,8619,0.03319648610546988,1,2,14,0,1
29,1104,0.996762584986409,0,2,10,0,0
48,3047,0.0989523016865349,1,2,13,0,1
63,1145,0.6826418014450607,0,1,1,1,0
19,1873,0.25283620307479004,1,3,9,0,1
68,1298,0.39198111290696014,1,3,5,1,0
67,4238,0.6459341848009382,0,2,13,1,0
