Estado;Antiguedad;Vivienda;Plazo;Edad;EstadoCivil;Registros;Trabajo;Gastos;Ingresos;Activos;Deuda;Cantidad;Precio
bueno;14;propietario;12;37;casado;no;freelance;90;500;4000;0;500;1338
bueno;0;otra;36;46;casado;si;otros;45;45;0;0;900;1100
bueno;9;alquila;36;55;casado;no;fijo;70;250;30000;0;1750;2276
bueno;29;propietario;48;56;casado;no;fijo;45;100;3000;0;900;1360
bueno;10;propietario;36;55;casado;no;fijo;60;70;4000;0;1000;1436
bueno;10;padres;36;52;casado;no;fijo;60;150;0;0;550;612
malo;1;propietario;36;29;casado;no;fijo;60;70;4500;0;850;1100
bueno;11;propietario;60;39;divorciado;si;fijo;35;263;2500;0;1000;1300
bueno;10;propietario;60;38;casado;no;freelance;75;200;9000;0;1000;2089
bueno;5;propietario;24;24;soltero;no;fijo;35;78;6000;3000;500;2262
bueno;10;alquila;60;28;soltero;no;fijo;47;120;0;0;600;1054
bueno;27;propietario;60;53;casado;no;fijo;60;125;10000;0;1426;1426
malo;0;alquila;60;25;soltero;no;tiempo parcial;40;50;0;0;1040;1048
malo;25;alquila;60;62;casado;no;fijo;60;146;0;0;1000;1292
bueno;3;padres;60;29;soltero;no;fijo;35;70;0;0;950;1177
malo;9;padres;60;32;soltero;si;fijo;35;105;0;0;1490;1490
bueno;4;alquila;36;21;casado;no;freelance;101;413;6000;0;750;850
bueno;6;alquila;36;38;casado;no;freelance;95;500;25000;21400;800;1011
bueno;9;alquila;48;56;casado;no;freelance;140;350;0;0;1400;1571
bueno;3;propietario;36;41;casado;no;freelance;75;200;3000;0;1000;1000
malo;22;otra;36;46;casado;no;fijo;45;138;0;0;250;270
bueno;3;propietario;60;54;viudo;no;otros;35;80;4000;0;950;1382
bueno;30;propietario;36;51;casado;no;freelance;120;208;15000;0;1500;1713
bueno;8;alquila;60;52;casado;no;fijo;89;137;4000;0;800;1086
bueno;38;propietario;48;57;casado;no;freelance;45;58;12000;0;1500;3262
bueno;2;alquila;60;33;casado;no;fijo;73;130;0;0;1100;1610
bueno;4;propietario;60;33;casado;no;fijo;75;123;6000;1000;600;1030
malo;0;alquila;36;29;casado;no;tiempo parcial;78;180;0;0;650;650
malo;2;otra;48;23;soltero;no;fijo;35;140;0;0;1950;2175
bueno;8;propietario;24;33;casado;no;fijo;75;315;4500;0;400;1780
malo;1;alquila;36;24;casado;no;tiempo parcial;76;164;0;0;900;950
malo;6;padres;60;28;casado;no;freelance;90;325;7000;0;1200;1211
bueno;5;propietario;60;27;casado;no;fijo;45;135;5000;1400;1600;1650
malo;13;padres;36;33;soltero;no;fijo;35;109;0;0;350;350
bueno;11;alquila;60;32;casado;no;fijo;79;185;0;0;950;1117
bueno;10;propietario;24;39;casado;no;fijo;45;217;9000;3000;1500;2468
malo;20;propietario;60;51;casado;no;freelance;90;300;12500;2500;1340;1740
malo;0;propietario;36;39;soltero;no;freelance;35;NA;4000;0;1000;1210
bueno;13;propietario;48;29;casado;no;fijo;60;253;3000;0;670;963
malo;2;propietario;36;32;casado;no;fijo;75;101;1500;400;1200;1646
malo;3;propietario;36;40;casado;si;freelance;35;200;10000;0;800;800
bueno;12;propietario;36;47;casado;no;fijo;75;124;3500;0;460;470
bueno;20;propietario;24;66;casado;no;fijo;45;143;10000;0;950;1370
bueno;3;privado;48;39;separado;no;freelance;35;250;4000;1500;700;839
bueno;27;propietario;60;50;casado;no;fijo;75;135;5500;1000;600;1346
bueno;4;alquila;60;25;casado;no;fijo;57;115;0;0;900;1350
malo;1;propietario;60;27;casado;no;tiempo parcial;75;160;4000;3000;1800;2100
bueno;18;alquila;60;54;casado;no;fijo;66;214;0;0;1300;1307
bueno;12;alquila;60;42;casado;no;fijo;114;390;0;0;1100;1126
bueno;12;propietario;48;35;separado;no;freelance;45;500;200000;0;2380;4786
malo;0;padres;60;23;soltero;no;tiempo parcial;35;95;0;0;1400;1478
bueno;12;propietario;60;52;casado;no;fijo;75;200;12000;0;1550;1568
bueno;0;padres;24;22;soltero;no;tiempo parcial;35;85;0;0;650;1056
bueno;10;otra;18;48;casado;no;fijo;90;214;0;0;1000;1608
bueno;2;propietario;60;25;casado;no;fijo;75;140;3000;0;950;1179
malo;10;otra;60;26;casado;no;fijo;45;60;0;0;1400;1524
bueno;8;propietario;60;28;casado;no;fijo;75;180;4000;0;1300;1730
bueno;20;propietario;30;62;casado;no;freelance;60;300;24000;9000;600;823
bueno;0;alquila;60;33;casado;no;freelance;65;200;0;0;700;800
bueno;16;padres;60;41;casado;no;fijo;75;242;0;0;1300;1482
bueno;4;propietario;60;29;casado;no;tiempo parcial;60;155;5000;2500;900;1110
malo;1;alquila;60;37;soltero;no;fijo;45;100;0;0;1150;1555
bueno;0;propietario;60;31;casado;no;fijo;60;105;3500;0;1100;1170
bueno;15;propietario;12;50;casado;no;freelance;45;166;2000;0;500;886
malo;13;alquila;60;42;separado;si;fijo;47;120;0;0;800;1395
bueno;19;propietario;36;33;casado;no;fijo;60;115;6700;2000;1000;2084
bueno;15;propietario;24;54;casado;no;freelance;90;350;150000;0;3800;8800
bueno;40;propietario;36;58;casado;no;freelance;75;NA;50000;0;1000;1160
bueno;9;alquila;60;40;casado;no;fijo;119;442;6000;1947;900;1211
malo;12;padres;60;31;separado;si;fijo;35;101;0;0;1300;1300
malo;0;propietario;36;35;casado;si;fijo;105;122;5200;2000;850;850
bueno;14;propietario;60;64;casado;no;freelance;60;250;10000;0;700;1204
bueno;10;padres;24;29;soltero;no;freelance;35;90;0;0;600;1528
bueno;2;propietario;48;33;casado;no;fijo;45;160;6000;0;1200;1298
bueno;15;propietario;18;35;casado;no;freelance;60;300;4000;0;300;600
malo;1;padres;48;28;soltero;no;fijo;35;83;0;0;1000;1320
bueno;27;propietario;60;59;casado;no;freelance;45;NA;11000;0;1100;1300
malo;0;otra;60;25;casado;no;tiempo parcial;60;60;0;0;1300;1380
malo;0;padres;60;23;soltero;no;tiempo parcial;35;205;0;0;1400;1426
bueno;3;propietario;24;30;casado;no;freelance;75;133;12000;900;1500;5200
bueno;8;alquila;36;36;casado;no;fijo;78;179;0;0;900;1503
bueno;3;propietario;48;25;soltero;no;freelance;35;NA;4000;0;1200;1449
bueno;5;otra;60;22;soltero;no;fijo;45;195;0;0;700;1422
bueno;9;propietario;24;45;casado;no;fijo;75;112;4000;0;500;1430
bueno;4;propietario;30;47;casado;no;freelance;90;210;15000;0;1550;1578
bueno;14;privado;48;36;casado;no;fijo;75;155;3500;200;1100;1250
bueno;3;propietario;36;36;soltero;si;freelance;35;394;16000;0;1500;2260
bueno;22;alquila;36;60;casado;no;fijo;60;149;0;0;200;280
bueno;20;alquila;48;59;casado;no;fijo;57;120;0;0;800;1298
malo;6;propietario;48;58;casado;si;freelance;60;400;86000;0;930;945
bueno;23;propietario;12;37;casado;no;fijo;45;165;5000;0;900;1694
malo;5;propietario;36;32;casado;no;freelance;75;125;6000;0;600;700
bueno;8;alquila;48;26;soltero;no;fijo;42;74;0;0;600;1290
bueno;5;propietario;60;40;casado;no;fijo;75;86;4900;0;1300;1581
bueno;20;propietario;48;55;casado;no;fijo;45;185;5000;0;1000;1383
bueno;11;alquila;60;30;casado;no;fijo;77;165;0;0;1350;1637
bueno;25;padres;54;43;casado;no;fijo;75;110;7000;0;1275;1275
malo;2;alquila;60;28;casado;no;fijo;74;138;0;0;1400;1400
bueno;20;propietario;24;47;casado;no;freelance;75;300;5000;0;600;832
bueno;9;propietario;36;29;soltero;no;fijo;35;147;3500;0;1886;2886
malo;0;alquila;60;48;separado;si;freelance;35;NA;25300;15500;1200;1257
bueno;18;padres;60;34;casado;no;fijo;60;112;6550;0;600;1346
bueno;20;propietario;60;53;casado;si;freelance;75;350;6500;0;800;1138
bueno;6;propietario;12;44;casado;no;fijo;45;110;15000;0;300;1801
malo;0;propietario;48;49;casado;no;tiempo parcial;45;75;2000;0;900;1200
bueno;0;alquila;36;51;casado;no;fijo;113;230;0;0;950;950
bueno;14;ignorar;60;34;casado;no;fijo;75;85;8000;0;1400;1589
bueno;10;propietario;48;42;casado;no;freelance;75;210;4000;120;1200;1617
bueno;19;propietario;60;34;casado;no;fijo;75;125;5000;0;1200;1200
bueno;11;propietario;60;46;casado;no;fijo;75;149;3500;0;1400;2194
bueno;1;propietario;48;31;casado;no;fijo;75;201;2500;96;1100;1642
malo;13;otra;60;31;casado;no;fijo;60;105;0;0;1200;1423
bueno;4;alquila;12;33;casado;no;fijo;78;183;0;0;600;1600
malo;9;alquila;24;30;soltero;si;fijo;46;113;0;0;700;700
bueno;1;propietario;24;27;casado;no;fijo;45;126;3000;3700;200;300
bueno;4;propietario;36;48;casado;no;freelance;120;300;5000;0;1000;1165
bueno;2;propietario;60;33;casado;no;fijo;75;160;6000;0;1000;1365
bueno;2;propietario;12;44;casado;no;fijo;90;160;7500;0;500;1706
malo;0;otra;36;48;casado;si;freelance;45;NA;0;0;1600;2053
bueno;21;propietario;60;57;casado;no;freelance;60;95;8000;0;1000;1700
bueno;12;propietario;60;34;casado;si;fijo;75;125;5500;4000;950;1462
bueno;9;alquila;60;38;casado;no;fijo;87;120;0;0;1177;1300
bueno;2;alquila;36;35;casado;no;fijo;126;359;0;0;870;1122
bueno;24;propietario;60;52;casado;no;fijo;45;80;4000;0;1200;1257
bueno;1;padres;60;28;soltero;no;tiempo parcial;35;67;0;0;1050;1387
bueno;15;propietario;48;46;casado;no;fijo;90;148;12000;0;1000;1266
bueno;19;propietario;60;56;casado;si;fijo;45;298;8000;0;1700;2195
bueno;10;propietario;24;52;casado;no;fijo;75;318;4500;700;700;2004
bueno;19;propietario;60;35;casado;no;fijo;75;185;4000;0;1100;1203
bueno;10;propietario;36;45;casado;si;freelance;60;NA;9500;250;750;1138
bueno;4;padres;48;29;casado;no;fijo;45;194;0;0;1200;1374
malo;1;padres;60;22;soltero;no;fijo;35;80;3000;0;1500;1514
bueno;2;propietario;24;33;casado;si;fijo;75;147;2000;900;400;750
bueno;5;propietario;24;41;casado;no;freelance;105;156;10000;0;800;1894
bueno;11;propietario;36;37;casado;no;fijo;75;178;3000;0;1000;1048
bueno;23;propietario;24;46;casado;no;fijo;75;130;4000;0;400;1369
malo;4;otra;36;19;soltero;no;tiempo parcial;35;63;0;0;1000;1035
malo;5;padres;36;22;soltero;no;fijo;35;88;0;0;750;1218
bueno;15;padres;60;31;casado;no;fijo;45;140;0;0;1200;1637
malo;1;privado;60;44;casado;no;tiempo parcial;45;115;2000;0;750;953
bueno;9;propietario;60;48;casado;si;fijo;60;83;2500;0;1100;1212
bueno;4;privado;36;31;casado;no;fijo;60;144;3000;0;1000;1218
bueno;20;propietario;24;53;casado;no;freelance;45;200;100000;0;1000;1419
bueno;10;otra;60;36;casado;no;fijo;90;172;3000;0;1100;1100
bueno;2;privado;60;46;casado;no;freelance;105;200;4000;500;900;987
bueno;15;propietario;60;37;casado;no;fijo;60;318;7000;0;1900;2400
bueno;8;propietario;60;34;casado;no;fijo;60;177;6300;4000;1370;1375
bueno;4;propietario;48;36;casado;no;fijo;60;133;4000;0;1000;1595
bueno;4;propietario;60;64;soltero;no;otros;35;150;9000;0;984;1054
bueno;1;propietario;36;27;soltero;no;fijo;35;208;9000;0;1000;1651
bueno;10;propietario;30;26;casado;no;fijo;75;145;1434;0;300;1542
bueno;32;propietario;60;53;casado;no;fijo;60;157;5000;0;2000;2014
bueno;12;propietario;60;50;casado;no;fijo;45;190;9500;200;1800;2624
malo;0;padres;60;21;soltero;no;tiempo parcial;35;86;0;0;1000;1135
bueno;20;padres;24;40;soltero;no;fijo;35;90;0;0;600;1105
bueno;6;alquila;60;49;casado;si;tiempo parcial;100;100;30000;0;1500;1500
malo;4;alquila;24;40;casado;si;fijo;56;214;0;0;800;1200
bueno;1;alquila;60;37;soltero;no;fijo;45;100;0;0;1150;1555
bueno;2;alquila;48;25;casado;no;fijo;57;117;0;0;800;2251
bueno;25;propietario;18;40;casado;no;fijo;45;110;4000;0;455;1542
bueno;1;alquila;36;22;casado;no;fijo;62;168;0;0;1200;2186
bueno;10;propietario;48;49;casado;no;freelance;45;150;9000;0;1700;1700
bueno;2;propietario;60;34;casado;no;fijo;45;166;7000;0;600;1180
bueno;3;NA;24;42;soltero;no;fijo;35;337;NA;NA;1300;1624
malo;13;alquila;24;49;casado;no;freelance;90;NA;0;0;700;800
malo;10;alquila;60;43;casado;no;freelance;90;NA;0;0;1350;1668
bueno;20;propietario;36;42;casado;no;freelance;90;250;4500;0;1500;1750
bueno;10;propietario;48;28;casado;si;tiempo parcial;60;120;2500;1500;600;875
bueno;1;propietario;60;30;casado;no;freelance;35;236;3500;1000;1000;1514
malo;1;propietario;60;25;separado;si;tiempo parcial;45;277;6000;3500;1700;1950
malo;0;padres;60;22;soltero;no;tiempo parcial;35;55;0;0;950;1462
bueno;5;padres;36;27;soltero;no;fijo;35;200;4000;0;600;1098
bueno;3;padres;60;26;soltero;no;fijo;45;235;0;0;800;840
malo;0;propietario;48;28;casado;no;fijo;45;80;1500;0;1260;1634
bueno;6;propietario;48;35;casado;no;freelance;45;200;7000;0;1540;1603
bueno;21;privado;60;51;casado;no;fijo;45;140;3000;0;1200;1200
bueno;5;alquila;60;24;casado;no;fijo;73;125;0;0;700;1360
bueno;12;alquila;60;34;casado;no;fijo;94;185;0;0;1200;1236
bueno;13;propietario;42;34;casado;no;fijo;105;190;2500;300;1100;1395
bueno;10;propietario;60;49;casado;no;freelance;60;150;23000;0;1200;1390
bueno;6;propietario;60;28;casado;no;fijo;60;102;5000;0;700;1355
bueno;18;alquila;60;57;casado;no;fijo;77;170;4000;0;1300;1604
bueno;15;propietario;60;63;casado;no;fijo;60;315;3500;266;1000;1241
malo;0;alquila;12;37;casado;no;otros;88;130;0;0;250;375
bueno;2;propietario;36;27;casado;no;fijo;45;156;6000;0;700;1045
bueno;18;alquila;60;39;casado;no;fijo;93;177;0;0;800;1781
bueno;12;propietario;36;64;soltero;si;freelance;60;341;4500;0;900;900
bueno;25;propietario;48;49;casado;no;freelance;105;240;12000;4200;1660;1698
bueno;8;propietario;12;49;casado;no;freelance;60;142;6000;0;200;1048
bueno;20;propietario;36;45;casado;no;freelance;75;333;5000;0;1000;2200
bueno;3;padres;60;27;soltero;no;fijo;35;125;5000;0;770;1119
bueno;2;padres;36;30;casado;no;fijo;45;170;0;0;700;1090
malo;2;propietario;36;33;casado;no;freelance;75;220;16000;500;3000;4100
bueno;15;propietario;36;40;casado;no;fijo;60;230;8500;480;700;1400
bueno;3;propietario;60;30;separado;no;fijo;60;157;15000;0;1000;2010
bueno;4;padres;12;30;casado;no;fijo;60;340;16000;0;1900;2014
bueno;3;propietario;60;25;casado;no;tiempo parcial;60;120;3500;200;1000;1342
bueno;9;alquila;60;40;soltero;no;fijo;44;91;0;0;1000;1132
malo;4;privado;42;50;casado;no;freelance;60;150;7000;0;900;1048
bueno;2;propietario;36;23;soltero;no;fijo;35;88;5500;0;750;1218
bueno;1;otra;48;28;soltero;no;tiempo parcial;35;120;0;0;900;1114
malo;2;alquila;60;35;casado;si;freelance;75;NA;0;0;1000;1206
bueno;2;alquila;60;27;casado;no;fijo;56;106;0;0;650;2132
bueno;2;padres;36;19;casado;no;fijo;35;162;4000;100;400;570
bueno;3;padres;60;39;casado;no;fijo;45;77;0;0;1000;1094
bueno;8;privado;36;39;casado;no;fijo;75;128;2500;0;550;550
bueno;10;propietario;48;55;viudo;no;fijo;35;189;9000;0;1200;1255
bueno;10;propietario;36;32;casado;no;freelance;60;300;40000;3000;2000;4138
bueno;5;propietario;60;54;casado;no;freelance;60;92;6000;1700;1700;1714
bueno;20;propietario;48;58;casado;no;freelance;60;380;35000;0;1100;1150
bueno;5;propietario;24;37;casado;no;freelance;75;500;14000;0;1500;2673
bueno;20;padres;60;36;casado;no;freelance;60;130;0;0;1200;1630
bueno;12;propietario;60;28;casado;no;fijo;45;141;6000;400;1100;1544
bueno;13;propietario;60;38;casado;no;fijo;75;220;6500;3600;1000;1195
bueno;11;propietario;36;26;casado;no;fijo;60;146;5000;1300;400;1206
bueno;17;propietario;60;41;casado;no;freelance;75;250;13500;3700;1400;2050
bueno;6;propietario;36;42;casado;no;fijo;60;132;6000;0;1200;1513
bueno;22;propietario;6;46;casado;no;freelance;90;150;75000;0;3000;3300
bueno;25;alquila;60;52;casado;no;fijo;73;127;0;0;1030;1250
malo;8;propietario;60;30;casado;no;tiempo parcial;60;90;3000;500;1000;1339
malo;19;propietario;60;47;casado;si;freelance;90;166;12500;1000;875;875
bueno;3;propietario;18;66;casado;no;otros;45;69;12000;0;500;1101
bueno;35;propietario;60;54;casado;no;fijo;45;182;4000;0;1000;1568
bueno;0;propietario;42;65;casado;no;otros;45;77;4000;2000;750;1194
malo;7;otra;60;25;casado;no;fijo;45;50;0;0;950;1378
bueno;3;propietario;60;31;soltero;no;fijo;35;131;4000;0;1050;1139
bueno;1;padres;24;23;soltero;no;fijo;35;62;0;0;350;350
malo;5;propietario;60;35;casado;no;fijo;75;60;3000;400;1150;1406
bueno;2;propietario;60;47;casado;no;fijo;90;86;4500;0;1200;1497
malo;13;alquila;36;28;casado;no;fijo;59;143;0;0;1400;1600
malo;27;alquila;60;50;casado;si;fijo;87;120;0;0;1300;1350
malo;3;otra;60;25;soltero;no;fijo;35;283;0;0;2000;2032
bueno;0;propietario;36;39;casado;no;fijo;60;138;3000;0;1400;2610
bueno;1;privado;12;46;casado;no;otros;90;90;2000;600;500;1193
malo;1;alquila;60;36;casado;si;fijo;85;99;0;0;1200;1275
malo;10;propietario;36;39;casado;si;freelance;75;160;15000;0;3250;3750
bueno;1;propietario;60;25;casado;no;tiempo parcial;60;330;9000;3500;1300;2500
bueno;6;propietario;36;49;casado;no;freelance;60;100;22000;0;1000;1790
malo;3;alquila;48;52;casado;no;fijo;96;210;0;0;1400;1419
bueno;10;alquila;30;34;separado;no;fijo;45;100;0;0;700;1480
bueno;0;propietario;36;24;soltero;no;tiempo parcial;45;97;8000;0;600;1542
malo;1;alquila;60;38;casado;no;freelance;45;NA;0;0;1500;1850
bueno;6;propietario;48;24;casado;no;fijo;45;227;3000;0;600;1380
bueno;5;propietario;42;33;casado;si;fijo;45;140;22000;2500;1200;1888
malo;1;alquila;48;31;casado;no;fijo;87;115;0;0;1100;1672
bueno;37;propietario;48;63;casado;no;fijo;60;150;3500;0;700;808
malo;1;padres;60;23;soltero;no;fijo;35;90;0;0;1100;1107
bueno;40;propietario;42;61;casado;no;fijo;90;275;12000;0;1000;1335
bueno;5;padres;60;28;soltero;no;fijo;35;176;0;0;1190;1390
bueno;11;alquila;60;58;casado;no;fijo;71;110;3000;0;1150;1363
bueno;23;propietario;60;41;casado;no;fijo;75;140;3000;0;1450;1482
bueno;23;propietario;60;38;casado;no;fijo;45;500;3500;0;1900;2357
malo;5;propietario;60;27;casado;no;fijo;75;66;3000;0;600;850
bueno;10;propietario;60;55;casado;no;freelance;60;NA;10000;0;1000;1180
bueno;5;propietario;48;40;casado;no;freelance;75;145;6000;0;825;1617
bueno;31;propietario;60;59;casado;no;fijo;60;67;6500;0;1080;1114
malo;4;propietario;60;47;casado;no;freelance;75;NA;13500;0;1900;1976
malo;10;propietario;60;38;casado;si;fijo;90;80;3000;1749;1030;1095
bueno;0;padres;60;25;soltero;no;freelance;35;NA;0;0;800;1380
bueno;8;otra;60;28;casado;no;fijo;45;200;0;0;700;1529
bueno;2;propietario;36;49;casado;si;freelance;75;154;14000;0;850;1263
bueno;3;privado;48;38;casado;no;freelance;90;187;2500;750;1550;1600
malo;35;propietario;48;52;casado;no;fijo;60;135;5000;0;1200;1400
bueno;3;propietario;48;37;viudo;no;fijo;45;160;6000;3000;1000;1520
bueno;25;propietario;60;42;casado;no;fijo;60;133;9500;0;1500;1617
bueno;8;alquila;60;54;casado;no;freelance;173;230;5000;0;1100;1500
bueno;2;propietario;60;30;casado;no;fijo;60;154;3000;0;1000;1705
bueno;2;propietario;30;26;casado;no;fijo;60;50;3500;250;600;1292
bueno;17;propietario;48;49;casado;no;freelance;60;189;7000;0;1100;1294
bueno;3;propietario;60;36;casado;no;fijo;60;202;4600;1260;1400;1936
malo;4;padres;48;40;casado;no;freelance;90;20;0;0;1850;2143
malo;0;propietario;12;61;casado;no;otros;60;40;4000;0;170;1394
malo;2;alquila;24;59;casado;no;fijo;110;50;0;0;200;425
bueno;2;propietario;48;49;casado;no;fijo;45;125;4000;0;500;1600
bueno;30;alquila;60;52;casado;no;freelance;70;100;14500;0;1250;1563
bueno;11;propietario;60;35;casado;no;fijo;60;115;4000;75;1250;1284
malo;5;ignorar;60;25;casado;no;fijo;75;160;1000;0;890;990
bueno;14;propietario;60;30;casado;no;fijo;60;70;4000;2800;600;1125
bueno;8;propietario;48;28;casado;no;fijo;35;220;4000;0;1000;1267
malo;1;otra;60;42;casado;si;freelance;45;NA;0;0;1600;1780
bueno;1;propietario;6;29;soltero;no;freelance;35;107;2000;0;300;1298
malo;6;propietario;60;32;casado;no;fijo;75;160;2200;600;1550;1600
bueno;9;propietario;60;45;casado;no;fijo;75;150;3000;0;1100;1340
bueno;0;propietario;60;52;casado;no;tiempo parcial;45;NA;10000;0;750;1244
malo;3;propietario;60;26;casado;no;tiempo parcial;45;120;6100;1500;1000;1403
bueno;3;propietario;60;33;casado;si;freelance;75;225;2000;0;1400;1980
bueno;1;padres;60;21;soltero;no;freelance;35;100;0;0;900;1290
malo;0;propietario;36;34;casado;no;tiempo parcial;75;80;4500;300;600;1339
bueno;6;propietario;60;27;soltero;no;fijo;35;208;6000;3300;1500;1559
malo;21;propietario;60;44;casado;no;fijo;90;105;1150;720;200;1078
bueno;17;propietario;60;51;casado;no;fijo;60;98;4000;0;860;1113
bueno;7;alquila;18;33;casado;no;fijo;113;532;0;0;1000;2290
bueno;10;propietario;60;35;casado;no;fijo;60;140;4000;0;1000;1578
bueno;2;propietario;48;38;casado;no;fijo;75;90;7000;2000;500;1039
