FacturaID,Oficina,Ciudad,LineaProducto,PrecioUnitario,Cantidad,Impuestos,Total,FechaCompra,HoraCompra,MetodoPago,Costos,IngresosBrutos,Rating
125-45-2293,A,Plymouth,Fashion accessories,99.1,6,29.73,624.33,19/01/2023,13:11:00,Cash,594.6,29.73,4.2
126-54-1082,A,Plymouth,Home and lifestyle,21.54,9,9.69,203.55,7/01/2023,11:44:00,Credit card,193.86,9.69,8.8
127-47-6963,A,Plymouth,Health and beauty,51.71,4,10.34,217.18,9/03/2023,13:53:00,Credit card,206.84,10.34,9.8
129-29-8530,A,Plymouth,Sports and travel,62.62,5,15.65,328.76,10/03/2023,19:15:00,Ewallet,313.1,15.65,7
130-67-4723,A,Plymouth,Food and beverages,48.5,6,14.55,305.55,11/01/2023,13:57:00,Ewallet,291,14.55,9.4
130-98-8941,C,Glasgow,Fashion accessories,64.26,7,22.49,472.31,9/02/2023,10:00:00,Cash,449.82,22.49,5.7
131-15-8856,C,Glasgow,Food and beverages,72.52,8,29.01,609.17,30/03/2023,19:26:00,Credit card,580.16,29.01,4
131-70-8179,A,Plymouth,Health and beauty,92.09,3,13.81,290.08,17/02/2023,16:27:00,Cash,276.27,13.81,4.2
132-23-6451,A,Plymouth,Health and beauty,20.97,5,5.24,110.09,4/01/2023,13:21:00,Cash,104.85,5.24,7.8
132-32-9879,B,Bristol,Electronic accessories,93.96,4,18.79,394.63,9/03/2023,18:00:00,Cash,375.84,18.79,9.5
133-14-7229,C,Glasgow,Health and beauty,62.87,2,6.29,132.03,1/01/2023,11:43:00,Cash,125.74,6.29,5
133-77-3154,B,Bristol,Fashion accessories,60.18,4,12.04,252.76,16/02/2023,18:04:00,Credit card,240.72,12.04,9.4
134-54-4720,B,Bristol,Electronic accessories,42.42,8,16.97,356.33,30/01/2023,13:58:00,Ewallet,339.36,16.97,5.7
134-75-2619,A,Plymouth,Electronic accessories,19.32,7,6.76,142,25/03/2023,18:51:00,Cash,135.24,6.76,6.9
135-13-8269,B,Bristol,Food and beverages,78.88,2,7.89,165.65,26/01/2023,16:04:00,Cash,157.76,7.89,9.1
135-84-8019,A,Plymouth,Fashion accessories,77.93,9,35.07,736.44,27/02/2023,16:10:00,Ewallet,701.37,35.07,7.6
136-08-6195,A,Plymouth,Home and lifestyle,69.96,8,27.98,587.66,15/02/2023,17:01:00,Credit card,559.68,27.98,6.4
137-63-5492,C,Glasgow,Electronic accessories,58.76,10,29.38,616.98,29/01/2023,14:26:00,Ewallet,587.6,29.38,9
137-74-8729,C,Glasgow,Fashion accessories,12.19,8,4.88,102.4,13/03/2023,12:47:00,Ewallet,97.52,4.88,6.8
138-17-5109,A,Plymouth,Home and lifestyle,89.21,9,40.14,843.03,15/01/2023,15:42:00,Credit card,802.89,40.14,6.5
139-20-0155,B,Bristol,Electronic accessories,40.3,10,20.15,423.15,24/01/2023,17:37:00,Credit card,403,20.15,7
139-32-4183,A,Plymouth,Sports and travel,97.48,9,43.87,921.19,14/03/2023,14:19:00,Ewallet,877.32,43.87,7.4
139-52-2867,C,Glasgow,Fashion accessories,22.51,7,7.88,165.45,13/02/2023,10:50:00,Credit card,157.57,7.88,4.8
142-63-6033,B,Bristol,Home and lifestyle,92.36,5,23.09,484.89,20/03/2023,19:17:00,Ewallet,461.8,23.09,4.9
142-72-4741,C,Glasgow,Fashion accessories,93.2,2,9.32,195.72,28/02/2023,18:37:00,Credit card,186.4,9.32,6
144-51-6085,A,Plymouth,Home and lifestyle,70.74,4,14.15,297.11,5/01/2023,16:05:00,Credit card,282.96,14.15,4.4
145-94-9061,B,Bristol,Food and beverages,88.36,5,22.09,463.89,25/01/2023,19:48:00,Cash,441.8,22.09,9.6
146-09-5432,A,Plymouth,Food and beverages,35.04,9,15.77,331.13,9/02/2023,19:17:00,Ewallet,315.36,15.77,4.6
148-41-7930,C,Glasgow,Health and beauty,99.96,7,34.99,734.71,23/01/2023,10:33:00,Cash,699.72,34.99,6.1
148-82-2527,C,Glasgow,Home and lifestyle,12.12,10,6.06,127.26,5/03/2023,13:44:00,Credit card,121.2,6.06,8.4
149-14-0304,C,Glasgow,Health and beauty,28.5,8,11.4,239.4,6/02/2023,14:24:00,Cash,228,11.4,6.6
149-15-7606,B,Bristol,Sports and travel,37.32,9,16.79,352.67,6/03/2023,15:31:00,Ewallet,335.88,16.79,5.1
149-61-1929,A,Plymouth,Sports and travel,64.19,10,32.1,673.99,19/01/2023,14:08:00,Credit card,641.9,32.1,6.7
149-71-6266,B,Bristol,Sports and travel,78.07,9,35.13,737.76,28/01/2023,12:43:00,Cash,702.63,35.13,4.5
150-89-8043,A,Plymouth,Sports and travel,44.65,3,6.7,140.65,14/02/2023,15:04:00,Cash,133.95,6.7,6.2
151-16-1484,A,Plymouth,Electronic accessories,32.25,4,6.45,135.45,13/02/2023,12:38:00,Ewallet,129,6.45,6.5
151-27-8496,C,Glasgow,Electronic accessories,56.13,4,11.23,235.75,19/01/2023,11:43:00,Ewallet,224.52,11.23,8.6
151-33-7434,B,Bristol,Food and beverages,67.77,1,3.39,71.16,4/02/2023,20:43:00,Credit card,67.77,3.39,6.5
152-03-4217,B,Bristol,Home and lifestyle,11.28,9,5.08,106.6,17/03/2023,11:55:00,Credit card,101.52,5.08,4.3
152-08-9985,B,Bristol,Health and beauty,64.36,9,28.96,608.2,12/03/2023,12:09:00,Credit card,579.24,28.96,8.6
152-68-2907,A,Plymouth,Food and beverages,52.2,3,7.83,164.43,15/02/2023,13:30:00,Credit card,156.6,7.83,9.5
153-58-4872,C,Glasgow,Food and beverages,74.89,4,14.98,314.54,1/03/2023,15:32:00,Ewallet,299.56,14.98,4.2
154-74-7179,B,Bristol,Sports and travel,54.45,1,2.72,57.17,26/02/2023,19:24:00,Ewallet,54.45,2.72,7.9
154-87-7367,C,Glasgow,Home and lifestyle,65.26,8,26.1,548.18,15/03/2023,14:04:00,Ewallet,522.08,26.1,6.3
155-45-3814,C,Glasgow,Electronic accessories,88.55,8,35.42,743.82,19/03/2023,15:29:00,Ewallet,708.4,35.42,4.7
156-20-0370,B,Bristol,Electronic accessories,25.45,1,1.27,26.72,10/03/2023,18:10:00,Credit card,25.45,1.27,5.1
156-95-3964,A,Plymouth,Food and beverages,55.39,4,11.08,232.64,25/03/2023,15:19:00,Ewallet,221.56,11.08,8
157-13-5295,A,Plymouth,Health and beauty,51.94,10,25.97,545.37,9/03/2023,18:24:00,Ewallet,519.4,25.97,6.5
160-22-2687,A,Plymouth,Health and beauty,95.95,5,23.99,503.74,23/01/2023,14:21:00,Ewallet,479.75,23.99,8.8
162-48-8011,A,Plymouth,Food and beverages,44.59,5,11.15,234.1,10/02/2023,15:10:00,Cash,222.95,11.15,8.5
162-65-8559,C,Glasgow,Food and beverages,68.98,1,3.45,72.43,21/01/2023,20:13:00,Cash,68.98,3.45,4.8
163-56-7055,C,Glasgow,Fashion accessories,48.71,1,2.44,51.15,26/03/2023,19:20:00,Cash,48.71,2.44,4.1
166-19-2553,A,Plymouth,Sports and travel,89.06,6,26.72,561.08,18/01/2023,17:26:00,Cash,534.36,26.72,9.9
169-52-4504,A,Plymouth,Electronic accessories,15.69,3,2.35,49.42,14/03/2023,14:13:00,Credit card,47.07,2.35,5.8
172-42-8274,B,Bristol,Electronic accessories,38.27,2,3.83,80.37,2/03/2023,18:18:00,Credit card,76.54,3.83,5.8
173-50-1108,B,Bristol,Sports and travel,20.18,4,4.04,84.76,13/02/2023,12:14:00,Credit card,80.72,4.04,5
173-57-2300,C,Glasgow,Sports and travel,72.88,2,7.29,153.05,13/03/2023,12:51:00,Cash,145.76,7.29,6.1
173-82-9529,B,Bristol,Fashion accessories,37.95,10,18.98,398.48,26/01/2023,14:51:00,Cash,379.5,18.98,9.7
174-36-3675,C,Glasgow,Food and beverages,99.37,2,9.94,208.68,14/02/2023,17:29:00,Cash,198.74,9.94,5.2
174-64-0215,B,Bristol,Sports and travel,69.74,10,34.87,732.27,5/03/2023,17:49:00,Credit card,697.4,34.87,8.9
174-75-0888,B,Bristol,Electronic accessories,21.58,9,9.71,203.93,14/03/2023,12:32:00,Cash,194.22,9.71,7.3
175-54-2529,A,Plymouth,Food and beverages,22.17,8,8.87,186.23,3/03/2023,17:01:00,Credit card,177.36,8.87,9.6
176-64-7711,B,Bristol,Food and beverages,32.32,3,4.85,101.81,27/03/2023,19:11:00,Credit card,96.96,4.85,4.3
176-78-1170,C,Glasgow,Health and beauty,33.81,3,5.07,106.5,26/01/2023,15:11:00,Ewallet,101.43,5.07,7.3
181-82-6255,B,Bristol,Home and lifestyle,16.37,6,4.91,103.13,8/02/2023,10:58:00,Cash,98.22,4.91,7
181-94-6432,C,Glasgow,Fashion accessories,69.33,2,6.93,145.59,5/02/2023,19:05:00,Ewallet,138.66,6.93,9.7
182-52-7000,A,Plymouth,Sports and travel,27.04,4,5.41,113.57,1/01/2023,20:26:00,Ewallet,108.16,5.41,6.9
182-69-8360,B,Bristol,Electronic accessories,23.65,4,4.73,99.33,30/01/2023,13:32:00,Credit card,94.6,4.73,4
182-88-2763,B,Bristol,Food and beverages,79.91,3,11.99,251.72,20/03/2023,19:28:00,Credit card,239.73,11.99,5
183-21-3799,C,Glasgow,Electronic accessories,77.63,9,34.93,733.6,19/02/2023,15:14:00,Ewallet,698.67,34.93,7.2
183-56-6882,C,Glasgow,Food and beverages,99.42,4,19.88,417.56,6/02/2023,10:42:00,Ewallet,397.68,19.88,7.5
186-09-3669,C,Glasgow,Health and beauty,81.51,1,4.08,85.59,22/01/2023,10:57:00,Ewallet,81.51,4.08,9.2
186-43-8965,A,Plymouth,Home and lifestyle,47.68,2,4.77,100.13,24/02/2023,10:10:00,Credit card,95.36,4.77,4.1
186-71-5196,A,Plymouth,Food and beverages,79.54,2,7.95,167.03,27/03/2023,16:30:00,Ewallet,159.08,7.95,6.2
186-79-9562,B,Bristol,Health and beauty,71.77,7,25.12,527.51,29/03/2023,14:06:00,Cash,502.39,25.12,8.9
187-83-5490,A,Plymouth,Electronic accessories,20.77,4,4.15,87.23,31/01/2023,13:47:00,Cash,83.08,4.15,4.7
188-55-0967,B,Bristol,Health and beauty,66.47,10,33.24,697.93,15/01/2023,15:01:00,Credit card,664.7,33.24,5
189-08-9157,C,Glasgow,Fashion accessories,31.73,9,14.28,299.85,8/01/2023,16:17:00,Credit card,285.57,14.28,5.9
189-17-4241,A,Plymouth,Fashion accessories,87.67,2,8.77,184.11,10/03/2023,12:17:00,Credit card,175.34,8.77,7.7
189-40-5216,C,Glasgow,Electronic accessories,96.37,7,33.73,708.32,9/01/2023,11:40:00,Cash,674.59,33.73,6
189-52-0236,A,Plymouth,Electronic accessories,99.55,7,34.84,731.69,14/03/2023,12:07:00,Cash,696.85,34.84,7.6
189-55-2313,C,Glasgow,Fashion accessories,62.18,10,31.09,652.89,31/01/2023,10:33:00,Ewallet,621.8,31.09,6
189-98-2939,C,Glasgow,Fashion accessories,78.55,9,35.35,742.3,1/03/2023,13:22:00,Cash,706.95,35.35,7.2
190-14-3147,B,Bristol,Health and beauty,17.97,4,3.59,75.47,23/02/2023,20:43:00,Ewallet,71.88,3.59,6.4
190-59-3964,B,Bristol,Food and beverages,47.16,5,11.79,247.59,3/02/2023,14:35:00,Credit card,235.8,11.79,6
191-10-6171,B,Bristol,Fashion accessories,39.62,7,13.87,291.21,25/01/2023,13:18:00,Cash,277.34,13.87,7.5
191-29-0321,B,Bristol,Fashion accessories,19.77,10,9.89,207.59,27/02/2023,18:57:00,Credit card,197.7,9.89,5
192-98-7397,C,Glasgow,Fashion accessories,12.78,1,0.64,13.42,8/01/2023,14:11:00,Ewallet,12.78,0.64,9.5
195-06-0432,A,Plymouth,Home and lifestyle,81.01,3,12.15,255.18,13/01/2023,12:55:00,Credit card,243.03,12.15,9.3
196-01-2849,C,Glasgow,Fashion accessories,73.38,7,25.68,539.34,10/02/2023,13:56:00,Cash,513.66,25.68,9.5
197-77-7132,B,Bristol,Electronic accessories,91.56,8,36.62,769.1,12/01/2023,18:22:00,Ewallet,732.48,36.62,6
198-66-9832,B,Bristol,Fashion accessories,72.04,2,7.2,151.28,4/02/2023,19:38:00,Cash,144.08,7.2,9.5
198-84-7132,B,Bristol,Fashion accessories,40.61,9,18.27,383.76,2/01/2023,13:40:00,Cash,365.49,18.27,7
199-75-8169,A,Plymouth,Sports and travel,15.81,10,7.91,166.01,6/03/2023,12:27:00,Credit card,158.1,7.91,8.6
200-16-5952,C,Glasgow,Food and beverages,65.65,2,6.57,137.87,17/01/2023,16:46:00,Cash,131.3,6.57,6
200-40-6154,B,Bristol,Home and lifestyle,65.91,6,19.77,415.23,9/02/2023,11:45:00,Cash,395.46,19.77,5.7
201-63-8275,C,Glasgow,Sports and travel,67.99,7,23.8,499.73,17/02/2023,16:50:00,Ewallet,475.93,23.8,5.7
201-86-2184,B,Bristol,Electronic accessories,26.26,7,9.19,193.01,2/02/2023,19:40:00,Cash,183.82,9.19,9.9
207-73-1363,B,Bristol,Health and beauty,69.51,2,6.95,145.97,1/03/2023,12:15:00,Ewallet,139.02,6.95,8.1
209-61-0206,A,Plymouth,Home and lifestyle,42.91,5,10.73,225.28,5/01/2023,17:29:00,Ewallet,214.55,10.73,6.1
210-30-7976,B,Bristol,Fashion accessories,22.32,4,4.46,93.74,14/03/2023,11:16:00,Ewallet,89.28,4.46,4.1
210-57-1719,B,Bristol,Health and beauty,58.24,9,26.21,550.37,5/02/2023,12:34:00,Cash,524.16,26.21,9.7
210-67-5886,C,Glasgow,Health and beauty,98.21,3,14.73,309.36,5/02/2023,10:41:00,Credit card,294.63,14.73,7.8
210-74-9613,C,Glasgow,Fashion accessories,97.26,4,19.45,408.49,16/03/2023,15:33:00,Ewallet,389.04,19.45,6.8
211-05-0490,C,Glasgow,Electronic accessories,51.92,5,12.98,272.58,3/03/2023,13:42:00,Cash,259.6,12.98,7.5
211-30-9270,C,Glasgow,Health and beauty,17.41,5,4.35,91.4,28/01/2023,15:16:00,Credit card,87.05,4.35,4.9
212-62-1842,A,Plymouth,Food and beverages,58.26,6,17.48,367.04,28/03/2023,16:44:00,Cash,349.56,17.48,9.9
213-32-1216,A,Plymouth,Electronic accessories,66.06,6,19.82,416.18,23/01/2023,10:28:00,Cash,396.36,19.82,7.3
213-72-6612,A,Plymouth,Food and beverages,43.25,2,4.32,90.82,20/03/2023,15:56:00,Cash,86.5,4.32,6.2
214-17-6927,C,Glasgow,Food and beverages,16.48,6,4.94,103.82,7/02/2023,18:23:00,Ewallet,98.88,4.94,9.9
214-30-2776,B,Bristol,Electronic accessories,34.49,5,8.62,181.07,11/03/2023,19:44:00,Credit card,172.45,8.62,9
217-58-1179,A,Plymouth,Home and lifestyle,62.65,4,12.53,263.13,5/01/2023,11:25:00,Cash,250.6,12.53,4.2
218-59-9410,A,Plymouth,Home and lifestyle,72.42,3,10.86,228.12,29/03/2023,16:54:00,Ewallet,217.26,10.86,8.2
219-22-9386,B,Bristol,Sports and travel,99.96,9,44.98,944.62,9/03/2023,17:26:00,Credit card,899.64,44.98,4.2
219-61-4139,C,Glasgow,Electronic accessories,83.08,1,4.15,87.23,23/01/2023,17:16:00,Ewallet,83.08,4.15,6.4
220-28-1851,A,Plymouth,Home and lifestyle,34.73,2,3.47,72.93,1/03/2023,18:14:00,Ewallet,69.46,3.47,9.7
220-68-6701,A,Plymouth,Home and lifestyle,77.47,4,15.49,325.37,17/03/2023,16:36:00,Cash,309.88,15.49,4.2
221-25-5073,A,Plymouth,Food and beverages,74.66,4,14.93,313.57,4/03/2023,10:39:00,Cash,298.64,14.93,8.5
222-42-0244,B,Bristol,Health and beauty,72.11,9,32.45,681.44,28/01/2023,13:53:00,Credit card,648.99,32.45,7.7
225-32-0908,C,Glasgow,Sports and travel,44.86,10,22.43,471.03,26/01/2023,19:54:00,Ewallet,448.6,22.43,8.2
225-98-1496,C,Glasgow,Fashion accessories,27.02,3,4.05,85.11,2/03/2023,13:01:00,Credit card,81.06,4.05,7.1
226-31-3081,C,Glasgow,Electronic accessories,15.28,5,3.82,80.22,8/03/2023,10:29:00,Cash,76.4,3.82,9.6
226-34-0034,B,Bristol,Electronic accessories,13.78,4,2.76,57.88,10/01/2023,11:10:00,Ewallet,55.12,2.76,9
226-71-3580,C,Glasgow,Sports and travel,23.75,9,10.69,224.44,31/01/2023,12:02:00,Cash,213.75,10.69,9.5
227-03-5010,A,Plymouth,Home and lifestyle,52.59,8,21.04,441.76,22/03/2023,19:20:00,Credit card,420.72,21.04,8.5
227-07-4446,C,Glasgow,Electronic accessories,78.13,10,39.06,820.36,10/02/2023,20:51:00,Cash,781.3,39.06,4.4
227-50-3718,A,Plymouth,Health and beauty,14.62,5,3.65,76.75,4/03/2023,12:23:00,Cash,73.1,3.65,4.4
227-78-1148,B,Bristol,Fashion accessories,72.84,7,25.49,535.37,15/02/2023,12:44:00,Cash,509.88,25.49,8.4
228-96-1411,C,Glasgow,Food and beverages,98.7,8,39.48,829.08,4/03/2023,20:39:00,Cash,789.6,39.48,7.6
232-11-3025,A,Plymouth,Sports and travel,78.77,10,39.38,827.09,24/01/2023,10:04:00,Cash,787.7,39.38,6.4
232-16-2483,C,Glasgow,Sports and travel,68.12,1,3.41,71.53,7/01/2023,12:28:00,Ewallet,68.12,3.41,6.8
233-34-0817,C,Glasgow,Electronic accessories,98.84,1,4.94,103.78,15/02/2023,11:21:00,Cash,98.84,4.94,8.4
233-67-5758,C,Glasgow,Health and beauty,40.35,1,2.02,42.37,29/01/2023,13:46:00,Ewallet,40.35,2.02,6.2
234-03-4040,B,Bristol,Food and beverages,73.05,10,36.53,767.03,3/03/2023,12:25:00,Credit card,730.5,36.53,8.7
234-36-2483,B,Bristol,Health and beauty,57.59,6,17.28,362.82,15/02/2023,13:51:00,Cash,345.54,17.28,5.1
234-65-2137,C,Glasgow,Home and lifestyle,95.58,10,47.79,1003.59,16/01/2023,13:32:00,Cash,955.8,47.79,4.8
235-06-8510,C,Glasgow,Home and lifestyle,85.72,3,12.86,270.02,24/01/2023,20:59:00,Ewallet,257.16,12.86,5.1
235-46-8343,C,Glasgow,Food and beverages,27.66,10,13.83,290.43,14/02/2023,11:26:00,Credit card,276.6,13.83,8.9
236-27-1144,C,Glasgow,Food and beverages,16.31,9,7.34,154.13,26/03/2023,10:31:00,Ewallet,146.79,7.34,8.4
236-86-3015,C,Glasgow,Home and lifestyle,13.98,1,0.7,14.68,4/02/2023,13:38:00,Ewallet,13.98,0.7,9.8
237-01-6122,C,Glasgow,Home and lifestyle,80.79,9,36.36,763.47,1/02/2023,20:31:00,Credit card,727.11,36.36,9.5
237-44-6163,A,Plymouth,Electronic accessories,10.56,8,4.22,88.7,24/01/2023,17:43:00,Cash,84.48,4.22,7.6
238-45-6950,B,Bristol,Food and beverages,53.72,1,2.69,56.41,1/03/2023,20:03:00,Ewallet,53.72,2.69,6.4
238-49-0436,A,Plymouth,Health and beauty,32.46,8,12.98,272.66,27/03/2023,13:48:00,Credit card,259.68,12.98,4.9
239-10-7476,A,Plymouth,Home and lifestyle,77.95,6,23.39,491.08,21/01/2023,16:37:00,Ewallet,467.7,23.39,8
239-36-3640,B,Bristol,Electronic accessories,45.35,6,13.6,285.7,31/01/2023,13:44:00,Ewallet,272.1,13.6,6.1
239-48-4278,A,Plymouth,Food and beverages,10.13,7,3.55,74.46,10/03/2023,19:35:00,Ewallet,70.91,3.55,8.3
241-11-2261,B,Bristol,Fashion accessories,79.86,7,27.95,586.97,10/01/2023,10:33:00,Credit card,559.02,27.95,5.5
241-72-9525,B,Bristol,Sports and travel,51.91,10,25.95,545.05,16/02/2023,12:21:00,Cash,519.1,25.95,8.2
241-96-5076,B,Bristol,Home and lifestyle,49.1,2,4.91,103.11,8/01/2023,12:58:00,Credit card,98.2,4.91,6.4
242-11-3142,B,Bristol,Fashion accessories,83.77,2,8.38,175.92,24/02/2023,19:57:00,Cash,167.54,8.38,4.6
242-55-6721,B,Bristol,Home and lifestyle,16.16,2,1.62,33.94,7/03/2023,11:49:00,Ewallet,32.32,1.62,6.5
243-47-2663,C,Glasgow,Electronic accessories,18.77,6,5.63,118.25,28/01/2023,16:43:00,Credit card,112.62,5.63,5.5
243-55-8457,A,Plymouth,Food and beverages,74.44,10,37.22,781.62,27/02/2023,11:40:00,Ewallet,744.4,37.22,5.1
244-08-0162,B,Bristol,Health and beauty,34.21,10,17.1,359.2,2/01/2023,13:00:00,Cash,342.1,17.1,5.1
246-11-3901,C,Glasgow,Electronic accessories,32.8,10,16.4,344.4,15/02/2023,12:12:00,Cash,328,16.4,6.2
246-55-6923,C,Glasgow,Home and lifestyle,35.79,9,16.11,338.22,10/03/2023,15:06:00,Credit card,322.11,16.11,5.1
247-11-2470,A,Plymouth,Fashion accessories,22.32,4,4.46,93.74,1/03/2023,16:23:00,Credit card,89.28,4.46,4.4
249-42-3782,A,Plymouth,Health and beauty,70.01,5,17.5,367.55,3/01/2023,11:36:00,Ewallet,350.05,17.5,5.5
250-17-5703,A,Plymouth,Food and beverages,18.85,10,9.43,197.93,27/02/2023,18:24:00,Ewallet,188.5,9.43,5.6
250-81-7186,C,Glasgow,Electronic accessories,99.69,1,4.98,104.67,27/02/2023,10:23:00,Credit card,99.69,4.98,8
252-56-2699,A,Plymouth,Food and beverages,43.19,10,21.59,453.49,7/02/2023,16:48:00,Ewallet,431.9,21.59,8.2
253-12-6086,A,Plymouth,Sports and travel,98.4,7,34.44,723.24,12/03/2023,12:43:00,Credit card,688.8,34.44,8.7
254-31-0042,A,Plymouth,Electronic accessories,21.5,9,9.68,203.18,6/03/2023,12:46:00,Credit card,193.5,9.68,7.8
256-08-8343,A,Plymouth,Home and lifestyle,56.53,4,11.31,237.43,4/03/2023,19:48:00,Ewallet,226.12,11.31,5.5
256-58-3609,C,Glasgow,Fashion accessories,91.98,1,4.6,96.58,18/03/2023,15:29:00,Cash,91.98,4.6,9.8
257-60-7754,A,Plymouth,Electronic accessories,50.23,4,10.05,210.97,8/01/2023,17:12:00,Cash,200.92,10.05,9
257-73-1380,C,Glasgow,Sports and travel,82.93,4,16.59,348.31,20/01/2023,16:51:00,Ewallet,331.72,16.59,9.6
258-69-7810,C,Glasgow,Fashion accessories,36.85,5,9.21,193.46,26/01/2023,18:53:00,Cash,184.25,9.21,9.2
258-92-7466,A,Plymouth,Health and beauty,35.68,5,8.92,187.32,6/02/2023,18:33:00,Credit card,178.4,8.92,6.6
261-12-8671,B,Bristol,Fashion accessories,60.96,2,6.1,128.02,25/01/2023,19:39:00,Credit card,121.92,6.1,4.9
262-47-2794,B,Bristol,Home and lifestyle,71.86,8,28.74,603.62,6/03/2023,15:07:00,Credit card,574.88,28.74,6.2
263-10-3913,C,Glasgow,Fashion accessories,49.04,9,22.07,463.43,9/01/2023,14:20:00,Credit card,441.36,22.07,8.6
263-12-5321,A,Plymouth,Electronic accessories,92.6,7,32.41,680.61,27/02/2023,12:52:00,Credit card,648.2,32.41,9.3
263-87-5680,C,Glasgow,Home and lifestyle,28.53,10,14.27,299.57,18/03/2023,17:38:00,Ewallet,285.3,14.27,7.8
266-20-6657,C,Glasgow,Food and beverages,55.04,7,19.26,404.54,12/03/2023,19:39:00,Ewallet,385.28,19.26,5.2
266-76-6436,C,Glasgow,Food and beverages,38.6,3,5.79,121.59,28/03/2023,13:57:00,Ewallet,115.8,5.79,7.5
267-62-7380,C,Glasgow,Electronic accessories,82.34,10,41.17,864.57,29/03/2023,19:12:00,Ewallet,823.4,41.17,4.3
268-03-6164,B,Bristol,Health and beauty,96.11,1,4.81,100.92,25/01/2023,16:28:00,Ewallet,96.11,4.81,7.8
268-20-3585,C,Glasgow,Health and beauty,13.85,9,6.23,130.88,4/02/2023,12:50:00,Ewallet,124.65,6.23,6
268-27-6179,B,Bristol,Fashion accessories,56.47,8,22.59,474.35,9/03/2023,14:57:00,Ewallet,451.76,22.59,7.3
269-04-5750,B,Bristol,Fashion accessories,73.82,4,14.76,310.04,21/02/2023,18:31:00,Cash,295.28,14.76,6.7
269-10-8440,A,Plymouth,Health and beauty,53.17,7,18.61,390.8,21/01/2023,18:01:00,Cash,372.19,18.61,8.9
271-77-8740,C,Glasgow,Sports and travel,29.22,6,8.77,184.09,1/01/2023,11:40:00,Ewallet,175.32,8.77,5
271-88-8734,C,Glasgow,Fashion accessories,97.21,10,48.6,1020.71,8/02/2023,13:00:00,Credit card,972.1,48.6,8.7
272-27-9238,C,Glasgow,Food and beverages,41.24,4,8.25,173.21,19/02/2023,16:23:00,Cash,164.96,8.25,7.1
272-65-1806,A,Plymouth,Electronic accessories,60.88,9,27.4,575.32,15/01/2023,17:17:00,Ewallet,547.92,27.4,4.7
273-16-6619,B,Bristol,Home and lifestyle,33.2,2,3.32,69.72,15/03/2023,12:20:00,Credit card,66.4,3.32,4.4
